,PC1,PC2,PC3,PC4,PC5
Neuron_050,0.09842813538915336,-0.013133770911939688,0.11743097020873902,0.0851671482043939,0.01415883251628852
Neuron_051,0.12563566566704537,0.05081058308441125,0.023102697383444205,0.036565588243160696,-0.035765342388455836
Neuron_052,0.04372562871533452,0.12106085403468138,0.08919823784839256,0.060628944800572515,-0.02200393733151975
Neuron_053,0.12905688856768874,-0.021000660347091235,0.0606797118980817,-0.14921286156383542,-0.030563395200979143
Neuron_054,0.03937926416597186,0.0942051293919288,0.1892567271802003,0.024894919474395205,0.0031633217367720936
Neuron_055,0.015134758553750596,0.11484451569442589,-0.028092988548290128,0.05361962473222548,0.04677211596438542
Neuron_056,0.09665425880515859,-0.03879011684587693,0.07439257707141037,0.014168650674211665,-0.07881798074032013
Neuron_057,-0.08798399454972566,0.11178861994887963,-0.14286634277817484,-0.04792635766320516,-0.030220458482558485
Neuron_058,0.11782324931261474,-0.03450884153339428,0.1476580248497579,-0.026587539991503758,0.059334837322598755
Neuron_059,0.07484695182239626,0.004159646464986513,-0.06087278081278082,0.12056900550857672,-0.09721407491626707
Neuron_060,0.07107374127098258,0.08561531201650133,0.05775997473585917,0.05693757969918315,0.08358006693434417
Neuron_061,0.10146031421720267,0.027668530394629735,-0.0413628049415249,0.07892758488423582,0.18224385008481256
Neuron_062,0.11256942702186545,0.007962620061871378,0.10435093089338449,-0.061694630404458745,-0.10170615227635277
Neuron_063,0.06392456677079619,0.02744416816534003,-0.08727040998632951,-0.07112952486424416,-0.14248798499233895
Neuron_064,-0.038027808871892645,0.11658421904148984,0.12838684479279883,0.014186410136515143,-0.09254900610955172
Neuron_065,0.0011612910135919234,0.12161272741102135,-0.07609351731037757,0.14434547041610388,-0.10440278865548333
Neuron_066,0.05647789793069742,0.04002817269757316,0.13725004035310923,0.015801802216785198,0.005997244251481295
Neuron_067,-0.07490635639468844,0.11500612260203248,0.10186761309219784,0.024446687214326048,-0.001297635236967456
Neuron_068,-0.10060272459496818,0.1219577099739679,0.07054627679912705,-0.01360441936152668,0.04570329890974748
Neuron_069,0.04161860409286185,0.09709235095023691,0.07730590546547361,-0.03206863058820681,-0.0213840431352951
Neuron_070,0.012211051563437542,0.10838305259448283,0.019569970455359055,0.044275162725234844,0.13292954767418502
Neuron_071,-0.050707830529181167,0.14063305289998496,0.06262665272967957,0.06358295089573895,-0.05357929563062048
Neuron_072,-0.06269562910053024,0.11569939274849585,-0.15793741315986312,-0.037872323802236894,-0.0506788730703264
Neuron_073,-0.02378860330675764,0.11958761177135788,0.11453036654955402,0.025104362027040823,-0.08630723777419284
Neuron_074,0.11210964509500507,0.04356135471870587,-0.09161701305473267,0.12317787964741556,0.042108843912849366
Neuron_075,0.12931637787472217,0.03821753009084458,-0.04477640681245701,0.10120362689977623,0.008774808507424802
Neuron_076,0.08624731472479974,-0.09961672966717568,-0.07517046630216702,-0.05844293476736447,0.0804742873706661
Neuron_077,0.13456968095681734,0.024164396185807402,-0.04996956422140948,-0.07556486801465519,-0.021394476745021814
